Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;A;53.65;0;48.17%;92.75%;5.14%;6.60%;1.85
Ahri;Mage;MID;S;55.93;0;49.89%;90.41%;9.01%;2.54%;2.61
Akali;Assassin;MID;A;50.75;0;48.29%;71.88%;6.91%;11.01%;2.36
Akali;Assassin;TOP;C;40.63;0;45.95%;27.15%;2.54%;11.01%;1.99
Akshan;Marksman;MID;A;50.47;0;51.67%;65.15%;2.48%;3.47%;2.27
Akshan;Marksman;TOP;B;44.88;0;51.37%;26.04%;0.99%;3.47%;1.99
Alistar;Tank;SUPPORT;B;47.31;0;49.50%;81.58%;3.70%;0.88%;2.44
Alistar;Tank;TOP;D;25.48;0;42.53%;11.93%;0.52%;0.88%;1.99
Amumu;Tank;JUNGLE;S;60.24;0;51.97%;58.91%;5.16%;8.03%;2.69
Amumu;Tank;SUPPORT;A;48.88;0;51.87%;40.21%;3.07%;8.03%;2.11
Anivia;Mage;MID;S;55.34;0;52.19%;84.19%;3.25%;4.63%;3.01
Anivia;Mage;SUPPORT;D;34.07;0;48.73%;10.48%;0.34%;4.59%;2.25
Annie;Mage;SUPPORT;God;75.81;0;55.49%;49.57%;6.79%;17.44%;2.74
Annie;Mage;MID;S;60.95;0;54.29%;47.01%;5.94%;17.44%;2.59
Aphelios;Marksman;ADC;D;29.5;0;47.68%;96.53%;3.58%;0.51%;1.93
Ashe;Marksman;SUPPORT;God;81.99;0;50.20%;67.11%;11.83%;14.61%;2.39
Ashe;Marksman;ADC;B;45.2;0;50.14%;30.90%;5.56%;14.61%;2.4
Aurelion Sol;Mage;MID;God;92.92;0;51.16%;81.74%;21.06%;51.38%;2.54
Azir;Mage;MID;C;38.64;0;45.04%;91.12%;2.53%;0.52%;2.04
Bard;Support;SUPPORT;B;43.91;0;48.62%;96.75%;2.55%;0.35%;2.86
Bel'Veth;Fighter;JUNGLE;B;44.11;0;49.51%;91.01%;3.50%;6.09%;2.3
